2026-08-11 23:26:46,411 | INFO | y2h_ppi | cli.py:8 | Running Phase 0 Checkpoint: Environment & Repository Setup
2026-08-11 23:26:46,412 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\config
2026-08-11 23:26:46,414 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\data\raw
2026-08-11 23:26:46,415 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\data\interim
2026-08-11 23:26:46,416 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\data\processed
2026-08-11 23:26:46,417 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\data
2026-08-11 23:26:46,417 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\features
2026-08-11 23:26:46,418 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\splitting
2026-08-11 23:26:46,419 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\models
2026-08-11 23:26:46,420 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\evaluation
2026-08-11 23:26:46,420 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\explain
2026-08-11 23:26:46,421 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\inference
2026-08-11 23:26:46,422 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\network
2026-08-11 23:26:46,423 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\api
2026-08-11 23:26:46,424 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\frontend
2026-08-11 23:26:46,424 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\tests
2026-08-11 23:26:46,425 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\reports
2026-08-11 23:26:46,426 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\scripts
2026-08-11 23:26:46,427 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\logs
2026-08-11 23:29:19,170 | INFO | y2h_ppi | cli.py:8 | Running Phase 0 Checkpoint: Environment & Repository Setup
2026-08-11 23:29:19,171 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\config
2026-08-11 23:29:19,172 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\data\raw
2026-08-11 23:29:19,173 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\data\interim
2026-08-11 23:29:19,174 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\data\processed
2026-08-11 23:29:19,175 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\data
2026-08-11 23:29:19,175 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\features
2026-08-11 23:29:19,176 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\splitting
2026-08-11 23:29:19,177 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\models
2026-08-11 23:29:19,178 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\evaluation
2026-08-11 23:29:19,179 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\explain
2026-08-11 23:29:19,180 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\inference
2026-08-11 23:29:19,180 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\network
2026-08-11 23:29:19,181 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\src\y2h_ppi\api
2026-08-11 23:29:19,182 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\frontend
2026-08-11 23:29:19,183 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\tests
2026-08-11 23:29:19,184 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\reports
2026-08-11 23:29:19,185 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\scripts
2026-08-11 23:29:19,186 | INFO | y2h_ppi | cli.py:19 | Directory verified: C:\Users\Balaji\Desktop\Genetic engineering capstone project\logs
2026-08-11 23:29:26,065 | INFO | y2h_ppi | cli.py:25 | Executing Phase 1: Real Data Acquisition
2026-08-11 23:34:32,502 | INFO | y2h_ppi | cli.py:25 | Executing Phase 1: Real Data Acquisition
2026-08-11 23:34:36,619 | INFO | y2h_ppi | pipeline.py:10 | === Phase 1 Execution Started ===
2026-08-11 23:34:37,599 | INFO | y2h_ppi | biogrid.py:25 | Resolved latest BioGRID version: 5.0.260
